"suggestion","playlist name","playlist link"
"create a ghosted station of a track from all-time","",""
"create a ghosted station of a track from the last 1 year","",""
"create a ghosted station of a track from the last 10 years","",""
"create a ghosted station of a track from the last 2 years","",""
"create a ghosted station of a track from the last 3 years","",""
"create a ghosted station of a track from the last 4 years","",""
"create a ghosted station of a track from the last 5 years","",""
"create a ghosted station of a track from the last 6 months","",""
"create a ghosted station of an album from all-time","",""
"create a ghosted station of an album from the last 1 year","",""
"create a ghosted station of an album from the last 10 years","",""
"create a ghosted station of an album from the last 2 years","",""
"create a ghosted station of an album from the last 3 years","",""
"create a ghosted station of an album from the last 4 years","",""
"create a ghosted station of an album from the last 5 years","",""
"create a ghosted station of an album from the last 6 months","",""
"create a ghosted station of an artist from all-time","",""
"create a ghosted station of an artist from the last 1 year","",""
"create a ghosted station of an artist from the last 10 years","",""
"create a ghosted station of an artist from the last 2 years","",""
"create a ghosted station of an artist from the last 3 years","",""
"create a ghosted station of an artist from the last 4 years","",""
"create a ghosted station of an artist from the last 5 years","",""
"create a ghosted station of an artist from the last 6 months","",""
"explore new tracks from an apotheosis artist","",""
"explore the amethyst mine for artists","",""
"explore the amethyst mine for tracks","",""
"explore the aquamarine mine for artists","",""
"explore the aquamarine mine for tracks","",""
"explore the artists from the last 1 month","",""
"explore the artists from the last 120 months","",""
"explore the artists from the last 12 months","",""
"explore the artists from the last 30 months","",""
"explore the artists from the last 3 months","",""
"explore the artists from the last 60 months","",""
"explore the artists from the last 6 months","",""
"explore the current year amethyst mine for artists","",""
"explore the current year amethyst mine for tracks","",""
"explore the current year aquamarine mine for artists","",""
"explore the current year aquamarine mine for tracks","",""
"explore the current year diamond mine for artists","",""
"explore the current year diamond mine for tracks","",""
"explore the current year emerald mine for artists","",""
"explore the current year emerald mine for tracks","",""
"explore the current year opal mine for artists","",""
"explore the current year opal mine for tracks","",""
"explore the current year ruby mine for artists","",""
"explore the current year ruby mine for tracks","",""
"explore the current year sapphire mine for artists","",""
"explore the current year sapphire mine for tracks","",""
"explore the current year topaz mine for artists","",""
"explore the current year topaz mine for tracks","",""
"explore the diamond mine for artists","",""
"explore the diamond mine for tracks","",""
"explore the emerald mine for artists","",""
"explore the emerald mine for tracks","",""
"explore the opal mine for artists","",""
"explore the opal mine for tracks","",""
"explore the ruby mine for artists","",""
"explore the ruby mine for tracks","",""
"explore the sapphire mine for artists","",""
"explore the sapphire mine for tracks","",""
"explore the topaz mine for artists","",""
"explore the topaz mine for tracks","",""
"explore the tracks from the last 1 month","",""
"explore the tracks from the last 120 months","",""
"explore the tracks from the last 12 months","",""
"explore the tracks from the last 30 months","",""
"explore the tracks from the last 3 months","",""
"explore the tracks from the last 60 months","",""
"explore the tracks from the last 6 months","",""
